GeneID,2369,2MA22,33-16,38-11,793,DK3IBZ2
Zm00001eb000010_T001,19.2705,17.508,22.1284,14.7731,24.0181,25.3028
Zm00001eb000020_T001,1.4916,0.955197,1.48197,2.28419,2.68757,3.5134
Zm00001eb000050_T001,0.099032,0.237683,0.545898,0.104669,0.271198,0.108166
Zm00001eb000060_T001,37.9421,33.4508,42.1437,25.1103,28.9567,62.3851
Zm00001eb000070_T001,0.150674,0.0,0.0,0.0,0.0,5.98953
Zm00001eb000080_T001,40.4046,29.7046,37.013,40.1487,37.2168,102.963
Zm00001eb000100_T001,0.0,0.0,0.0,1.53211e-08,0.0,4.20548e-08
Zm00001eb000110_T001,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001eb000120_T001,0.603604,0.484686,0.277302,0.0,0.55237,0.220726
Zm00001eb000140_T001,0.0,2.38427,0.542887,0.0,0.0,0.434377
Zm00001eb000150_T001,0.354775,0.428987,1.46613,0.737085,0.325597,0.0
Zm00001eb000170_T003,12.7522,11.0011,15.7169,12.616,14.3307,14.1144
Zm00001eb000180_T001,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001eb000190_T001,3.34302,2.41957,2.70047,6.65663,3.97365,4.43984
Zm00001eb000200_T001,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001eb000210_T001,7.2369,6.89087,8.34015,5.97531,6.79145,7.81882
Zm00001eb000220_T001,19.2748,23.9769,49.8257,58.5529,29.4169,33.1989
Zm00001eb000230_T001,20.3152,16.0503,15.146,18.4318,15.3548,21.6927
Zm00001eb000240_T002,9.82787,8.67539,5.16009,10.3578,7.25245,15.5426
Zm00001eb000250_T001,0.0,1.08142,0.0,0.0,0.0,0.0
Zm00001eb000270_T001,75.7067,195.456,122.938,3.41513,1.00363,72.6296
Zm00001eb000290_T001,0.0,0.0,0.0,0.0,1.52548,0.0
Zm00001eb000300_T001,141.638,121.395,0.0,55.968,125.536,120.382
Zm00001eb000310_T001,7.3524,12.4266,4.82031,7.16891,13.9282,5.75671
Zm00001eb000320_T002,25.0445,16.8174,30.4347,22.8078,23.9906,35.1979
Zm00001eb000330_T001,2.21279,2.49543,2.2535,4.63312,3.33219,2.06006
Zm00001eb000340_T001,10.1548,12.4463,9.04838,11.2459,11.4627,11.5451
Zm00001eb000360_T001,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001eb000370_T001,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001eb000380_T001,0.0,0.0,0.0,0.0,0.0,0.077626
Zm00001eb000390_T001,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001eb000400_T001,0.131626,0.0,0.530953,0.0697339,0.840431,0.0717695
Zm00001eb000410_T001,0.0,0.0,0.0902177,0.0,0.0,0.0
Zm00001eb000420_T001,25.5531,23.7701,21.0348,24.9853,34.8614,23.8403
Zm00001eb000430_T001,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001eb000440_T002,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001eb000450_T001,0.0,0.161346,0.0,0.0,0.0,0.0
Zm00001eb000460_T001,0.135858,1.20355,0.392485,0.0,0.0,0.243007
Zm00001eb000470_T001,4.21852,3.31352,2.58037,2.36701,2.29363,10.5951
Zm00001eb000480_T004,194.95,126.375,158.235,197.602,144.905,258.657
Zm00001eb000490_T003,0.215449,0.129062,0.0,0.57123,0.294702,0.528337
Zm00001eb000500_T001,6.06766,2.79083,2.59783,1.56563,5.34317,3.91939
Zm00001eb000510_T001,73.8404,73.9982,85.8943,69.6435,83.0128,51.5444
Zm00001eb000520_T003,13.7073,9.35341,11.3183,10.6059,10.9743,14.7108
Zm00001eb000530_T001,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001eb000540_T001,0.0,0.0,0.0,0.946951,0.0706977,0.126698
Zm00001eb000550_T005,21.6708,15.7247,16.603,19.7446,19.6368,14.6397
Zm00001eb000560_T001,0.0,0.0,0.0,2.80793,0.0,0.0
Zm00001eb000570_T002,5.14805,4.91538,3.25102,3.02766,3.43525,2.90241
Zm00001eb000580_T001,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001eb000590_T001,7.38985,7.3243,7.45561,7.62541,8.65915,9.73272
Zm00001eb000600_T001,0.0,0.0,0.0,0.0401776,0.0,0.0
Zm00001eb000620_T001,180.576,184.793,172.037,226.72,217.632,224.396
Zm00001eb000630_T002,0.0,0.0,0.0,0.0,0.0674481,0.0
Zm00001eb000640_T001,1.00601,1.15015,1.89023,2.28072,53.24,59.6834
Zm00001eb000650_T001,0.379978,0.252805,0.639908,0.806673,3.11769,1.19573
Zm00001eb000660_T002,0.0,0.106395,0.244446,0.0,0.161886,0.0
Zm00001eb000670_T002,16.5962,23.4959,18.253,49.8861,38.0357,70.0379
Zm00001eb000680_T001,0.0,0.0,0.0,0.365107,0.0,0.190354
Zm00001eb000690_T001,7.42342,5.90361,6.36474,5.84425,6.11903,7.01056
Zm00001eb000700_T001,48.1927,37.6587,38.4286,70.6631,42.5708,40.8541
Zm00001eb000710_T001,6.40941,5.43169,3.74686,5.41975,4.25176,6.70678
Zm00001eb000720_T001,3.42262,4.97001,1.75321,5.05981,2.83004,2.18089
Zm00001eb000740_T002,66.4026,68.5116,154.824,79.0495,90.0316,37.0478
Zm00001eb000750_T001,87.2748,60.2917,74.105,65.3637,44.6262,59.556
Zm00001eb000760_T001,22.6915,27.3845,24.9527,18.2744,12.8576,11.982
Zm00001eb000770_T001,37.2144,36.9382,38.1921,40.1249,36.0457,32.3882
Zm00001eb000780_T001,18.7601,27.6998,17.3603,28.9051,21.7396,27.5323
Zm00001eb000790_T001,2.2229,2.87604,4.2273,2.67938,2.9279,1.40339
Zm00001eb000800_T002,15.9032,15.5701,14.6386,29.1461,19.0165,23.0598
Zm00001eb000810_T001,0.244063,0.0,0.371107,0.0861002,0.0,0.684527
Zm00001eb000820_T001,13.0404,12.4465,9.13787,20.6917,13.2116,17.1229
Zm00001eb000830_T001,0.0,0.930646,1.86403,0.0,0.353556,0.635679
Zm00001eb000840_T001,0.0,0.0,0.0,0.0,0.277171,0.0
Zm00001eb000850_T001,157.459,77.5234,134.025,91.3392,198.267,80.6001
Zm00001eb000860_T002,14.3218,11.791,11.3637,16.392,18.4527,17.5247
Zm00001eb000870_T001,12.4392,6.45337,10.673,10.4481,10.6216,13.0387
Zm00001eb000880_T003,0.0516617,0.0,0.0,0.0,0.0,0.0
Zm00001eb000890_T002,0.0,0.0571229,0.0,0.0253677,0.0,0.0
Zm00001eb000900_T001,0.0,0.0,0.0,0.0813638,0.140237,0.0
Zm00001eb000910_T001,15.0058,14.0007,12.6457,11.7738,22.199,10.4413
Zm00001eb000920_T004,43.0944,85.0376,53.6802,47.5489,39.6893,42.3161
Zm00001eb000930_T001,0.0829428,0.892654,1.71425,0.176655,1.58649,0.631217
Zm00001eb000940_T001,0.290158,2.2441,5.48344,0.0857216,0.798749,3.31247
Zm00001eb000960_T002,0.236295,0.679273,0.260471,0.351015,0.81869,0.205964
