taxa,Order of Collection
2369,19
29MIBZ2,77
2FACC,22
2FADB,1
2MA22,42
2MCDB,108
33-16,8
38-11,47
4554_INBRED,66
4578_INBRED,101
4722,6
4F-306_108,69
4N506,52
52220,45
6M502,9
6M502A,119
764,8
78551S,118
792,19
793,66
80-2,7
87916W,116
904,1
911,55
912,48
91IFC2,81
A,89
A12,89
A15,120
A155,32
A239,57
A258,49
A305,24
A321,56
A322,31
A334,40
A340,8
A344,116
A374,32
A3G-3-3-1-313,82
A415-1-3_INBRED,58
A427,44
A508,60
A554,5
A556,61
A572,65
A619,107
A627,54
A632,80
A634,2
A635,56
A648,70
A649,13
A651,61
A654,88
A659,92
A661,15
A662,94
A663,47
A672,46
A673,26
A674,90
A679,95
A680,79
A682,33
A71,110
A73,101
A797NW,65
A96,106
AM0776,77
AQA3,11
AS5707,94
AS6103,99
AusTRCF_306238,34
B-18_INBR.FR.SUPERGOLD,93
B-28,81
B10,88
B101,89
B104,109
B105,83
B106,55
B107,88
B108,34
B109,89
B14,74
B14A,100
B164,97
B37,71
B42,21
B46,74
B52,84
B54,112
B57,89
B64,51
B65,13
B66,72
B68,119
B7,69
B73,117
B75,16
B76,97
B77,43
B79,88
B8,41
B84,13
B85,120
B87,101
B88,4
B90,76
B91,73
B99,77
Bei_10_=_North_10,99
C102,7
C103,76
C123,106
C15,3
C42,46
C49A,105
C68,11
CA-4,52
CG10,23
CH157,54
CH701-30,9
CH711-10,81
CH753-4,43
Chi-tan_120,81
CI_187-2,69
CI_21E,63
CI_28A,12
CI_3A,98
CI_40H,52
CI_540,22
CI_64,56
CI_91B,116
CL17,108
CM105,15
CM48,99
CM7,35
CM99,10
CML_108,78
CML_154Q,55
CML_218,25
CML_220,71
CML_228,48
CML_322,53
CML_323,59
CML_395,67
CML_91,16
CO106,60
CO125,49
CO158,1
CO192,42
CO245,60
CO255,43
CO256,94
CO257,2
CO258,76
CQ702RC,41
CR14,81
CR1HT,6
CS405,11
CS608,71
CSJ3,57
DE1,67
DE2,55
DE3,117
DE4,36
DE811,82
DJ7,79
DK3IBZ2,47
DK3IIH6,51
DK4676A,63
DK6F545,103
DK78002A,15
DK78010,58
DK78371A,102
DK83IBI3,27
DK84BRQ4,42
DK8F196,25
DK8M116,55
DK8M129,29
DKF274,105
DKFBHJ,114
DKHBA1,73
DKIB014,49
DKIB02,67
DKMBNA,78
DKMBUB,19
DKMBZA,57
DKMFD-13D,2
DKMM402A,60
DKNL001,113
DKPB80,34
DKWDAD1,42
E8501,95
Eng-Li_Chih,34
EP1,115
F115,101
F118,14
F2834T,118
F44,91
F7,77
FBLA,61
FBLL,90
Fe,29
FR19,58
G22_T122,36
G3_T5a,61
GE129,57
GE54,96
H105W,64
H113,86
H114,115
H121,80
H122w,108
H124w,58
H14,77
H49,30
H5,68
H52,35
H71,28
H84,101
H91,28
H95,2
H99,105
HB8229,95
Hi26,49
Hi28,35
HP301,45
Huanyao,15
Huobai,27
Hy,69
I29,55
IA2132,50
Ia453,69
Ia5125B,37
IBB15,102
IBC2,3
ICI_193,14
ICI_441,38
ICI_581,63
ICI_740,103
ICI_893,17
ICI_986,93
IDS28,111
IDS69,85
IDS91,43
Il14H,44
Il778d,36
INB_101LFY/LFY_(A632_X_M16_S5),64
INBRED_100,116
INBRED_109,53
INBRED_141,110
INBRED_2-687,23
INBRED_305,105
INBRED_309,118
INBRED_321,53
J47,55
J8606,31
K148,29
K150,115
K155,36
K201,65
K4,38
K41,99
K47,98
K55,4
K64,119
KO679Y,84
KUNG-70,20
Ky21,27
Ky226,107
Ky228,43
L_127,89
L_135,114
L_139,115
L_155,33
L_289,42
L222,76
L317,114
LH1,72
LH119,6
LH123HT,87
LH127,75
LH128,85
LH132,111
LH143_(Maintainer),83
LH145,4
LH146Ht,73
LH150,1
LH156,87
LH159,17
LH160,38
LH162,30
LH163,47
LH164,76
LH165,62
LH166,23
LH167,90
LH169Ht,39
LH172,99
LH175,24
LH181,35
LH183,100
LH184,16
LH185,5
LH188,104
LH189Ht,93
LH190,83
LH191,49
LH192,64
LH193,84
LH194,102
LH196,92
LH197,71
LH198,103
LH199,110
LH200,85
LH202,72
LH204,9
LH205,94
LH206,31
LH208,69
LH210,80
LH211,98
LH212Ht,54
LH213,14
LH214,19
LH215,73
LH216,114
LH217,109
LH218,25
LH220Ht,6
LH222,117
LH223,78
LH224,39
LH225,75
LH231,45
LH250,3
LH252,20
LH260,59
LH284,96
LH299,9
LH38,108
LH39,53
LH51,47
LH52,65
LH54,90
LH57,104
LH59,60
LH60,49
LH61,45
LH74,59
LH82,50
LH93,67
LIBC_4,109
Lp215D,66
LP5,101
M14,6
M162W,3
MBPM,28
MBST,116
MBWZ,82
MEF156-55-2,113
MM501D,63
Mo13,85
Mo16W,51
Mo17,69
Mo1W,107
Mo23W,62
Mo24W,37
Mo28W,65
Mo3,59
Mo39,80
Mo44,50
Mo45,21
Mo46,42
